FirstName;Initials;LastName;Username;Email;StreetAddress;City;ZipCode;State;Country;Department;Password;Telephone;JobTitle;Company;Ou
Bitten;BITCH;Christensen;BITCH;bitch@cbz.dk;Hyggevej 1;Ringsted;4100;;DK;Service;Kode1234!;23546796;Tekniker;Dystopian Tech;OU=Service,OU=Users
Klaes;KLOVN;Ovnen;KLOVN;klovn@cbz.dk;Hyggevej 2;Ringsted;4100;;DK;Leisure Management;Kode1234!;23546795;Eventkoordinator;Dystopian Tech;OU=LM,OU=Users
Martin;MAKEE;Kee;MAKEE;makee@cbz.dk;Hyggevej 3;Ringsted;4100;;DK;Cleaning;Kode1234!;;Rengøring;Dystopian Tech;OU=Cleaning,OU=Users
Lone;LOMME;Meredith;LOMME;lomme@cbz.dk;Hyggevej 4;Ringsted;4100;;DK;Instructors;Kode1234!;23546793;Instruktør;Dystopian Tech;OU=Instructors,OU=Users
Falder;FALKE;Kee;FALKE;falke@cbz.dk;Hyggevej 5;Ringsted;4100;;DK;HR;Kode1234!;;Receptionist;Dystopian Tech;OU=HR,OU=Users
Poul;POMPO;Poulsen;POMPO;pompo@cbz.dk;Hyggevej 6;Ringsted;4100;;DK;HR;Kode1234!;23546791;HR;Dystopian Tech;OU=HR,OU=Users
Markus;MARKU;Madsen;MARKU;marku@cbz.dk;Hyggevej 7;Ringsted;4100;;DK;Service;Kode1234!;23546790;Tekniker;Dystopian Tech;OU=Service,OU=Users
Bruce;BRUCE;Bruce;BRUCE;bruce@cbz.dk;Hyggevej 8;Ringsted;4100;;DK;Leisure Management;Kode1234!;23546789;Eventkoordinator;Dystopian Tech;OU=LM,OU=Users
Trine;TRIEN;Nguyen;TRIEN;trien@cbz.dk;Hyggevej 9;Ringsted;4100;;DK;Instructors;Kode1234!;23546788;Instruktør;Dystopian Tech;OU=Instructors,OU=Users
Maya;MAYAN;Andersen;MAYAN;mayan@cbz.dk;Hyggevej 10;Ringsted;4100;;DK;Direction;Kode1234!;23546787;CFO;Dystopian Tech;OU=Direction,OU=Users
Søren;SOREN;Olsen;SOREN;soren@cbz.dk;Hyggevej 11;Ringsted;4100;;DK;Cleaning;Kode1234!;;Rengøring;Dystopian Tech;OU=Cleaning,OU=Users
Michella;MICHE;Kristensen;MICHE;miche@cbz.dk;Hyggevej 12;Ringsted;4100;;DK;Leisure Management;Kode1234!;23546785;Eventkoordinator;Dystopian Tech;OU=LM,OU=Users
Alex;ALENE;Ågård;ALENE;alene@cbz.dk;Hyggevej 13;Ringsted;4100;;DK;HR;Kode1234!;23546784;HR;Dystopian Tech;OU=HR,OU=Users
Kristina;KRISE;Krise;KRISE;krise@cbz.dk;Hyggevej 14;Ringsted;4100;;DK;Instructors;Kode1234!;23546783;Instruktør;Dystopian Tech;OU=Instructors,OU=Users
Allan;ALLNO;Norge;ALLNO;allno@cbz.dk;Hyggevej 15;Ringsted;4100;;DK;Economy;Kode1234!;23546782;LØN;Dystopian Tech;OU=Economy,OU=Users
Tue;TUSKE;Skel;TUSKE;tuske@cbz.dk;Hyggevej 16;Ringsted;4100;;DK;Cleaning;Kode1234!;;Rengøring;Dystopian Tech;OU=Cleaning,OU=Users
Nanna;NANAE;AEgames;NANAE;nanae@cbz.dk;Hyggevej 17;Ringsted;4100;;DK;HR;Kode1234!;;Receptionist;Dystopian Tech;OU=HR,OU=Users
Ole Poul;OPOPO;Poulsen;OPOPO;opopo@cbz.dk;Hyggevej 18;Ringsted;4100;;DK;HR;Kode1234!;;Receptionist;Dystopian Tech;OU=HR,OU=Users
Morten;MORTE;Temlig;MORTE;morte@cbz.dk;Hyggevej 19;Ringsted;4100;;DK;Economy;Kode1234!;23546778;LØN;Dystopian Tech;OU=Economy,OU=Users
Kenneth;KENTH;Hehe;KENTH;kenth@cbz.dk;Hyggevej 20;Ringsted;4100;;DK;Service;Kode1234!;23546777;Tekniker;Dystopian Tech;OU=Service,OU=Users
Hallom;HALLO;Lone;HALLO;hallo@cbz.dk;Hyggevej 21;Ringsted;4100;;DK;Instructors;Kode1234!;23546776;Instruktør;Dystopian Tech;OU=Instructors,OU=Users
